CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
LineMandelCalculator;512;1536;1024;100;30
LineMandelCalculator;512;1536;1024;100;30
LineMandelCalculator;512;1536;1024;100;30
RefMandelCalculator;1024;3072;2048;100;474
RefMandelCalculator;1024;3072;2048;100;474
RefMandelCalculator;1024;3072;2048;100;474
LineMandelCalculator;1024;3072;2048;100;125
BatchMandelCalculator;512;1536;1024;100;14
LineMandelCalculator;1024;3072;2048;100;126
BatchMandelCalculator;512;1536;1024;100;14
LineMandelCalculator;1024;3072;2048;100;124
BatchMandelCalculator;512;1536;1024;100;14
RefMandelCalculator;2048;6144;4096;100;1890
RefMandelCalculator;2048;6144;4096;100;1890
RefMandelCalculator;2048;6144;4096;100;1890
LineMandelCalculator;2048;6144;4096;100;500
BatchMandelCalculator;1024;3072;2048;100;54
BatchMandelCalculator;1024;3072;2048;100;55
LineMandelCalculator;2048;6144;4096;100;501
BatchMandelCalculator;1024;3072;2048;100;55
LineMandelCalculator;2048;6144;4096;100;502
RefMandelCalculator;4096;12288;8192;100;7535
RefMandelCalculator;4096;12288;8192;100;7539
RefMandelCalculator;4096;12288;8192;100;7544
BatchMandelCalculator;2048;6144;4096;100;215
LineMandelCalculator;4096;12288;8192;100;2026
BatchMandelCalculator;2048;6144;4096;100;213
LineMandelCalculator;4096;12288;8192;100;2015
BatchMandelCalculator;2048;6144;4096;100;210
LineMandelCalculator;4096;12288;8192;100;2015
RefMandelCalculator;512;1536;1024;1000;1042
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1042
BatchMandelCalculator;4096;12288;8192;100;827
LineMandelCalculator;512;1536;1024;1000;253
BatchMandelCalculator;4096;12288;8192;100;826
LineMandelCalculator;512;1536;1024;1000;254
LineMandelCalculator;512;1536;1024;1000;254
BatchMandelCalculator;4096;12288;8192;100;830
RefMandelCalculator;1024;3072;2048;1000;4168
RefMandelCalculator;1024;3072;2048;1000;4169
RefMandelCalculator;1024;3072;2048;1000;4169
BatchMandelCalculator;512;1536;1024;1000;90
LineMandelCalculator;1024;3072;2048;1000;1033
LineMandelCalculator;1024;3072;2048;1000;1032
LineMandelCalculator;1024;3072;2048;1000;1033
BatchMandelCalculator;512;1536;1024;1000;90
BatchMandelCalculator;512;1536;1024;1000;90
RefMandelCalculator;2048;6144;4096;1000;16672
RefMandelCalculator;2048;6144;4096;1000;16674
RefMandelCalculator;2048;6144;4096;1000;16679
BatchMandelCalculator;1024;3072;2048;1000;338
LineMandelCalculator;2048;6144;4096;1000;4122
LineMandelCalculator;2048;6144;4096;1000;4145
LineMandelCalculator;2048;6144;4096;1000;4149
BatchMandelCalculator;1024;3072;2048;1000;338
BatchMandelCalculator;1024;3072;2048;1000;338
RefMandelCalculator;4096;12288;8192;1000;66719
RefMandelCalculator;4096;12288;8192;1000;66692
RefMandelCalculator;4096;12288;8192;1000;66684
BatchMandelCalculator;2048;6144;4096;1000;1296
LineMandelCalculator;4096;12288;8192;1000;16572
BatchMandelCalculator;2048;6144;4096;1000;1296
LineMandelCalculator;4096;12288;8192;1000;16620
BatchMandelCalculator;2048;6144;4096;1000;1296
LineMandelCalculator;4096;12288;8192;1000;16593
BatchMandelCalculator;4096;12288;8192;1000;5049
BatchMandelCalculator;4096;12288;8192;1000;5050
BatchMandelCalculator;4096;12288;8192;1000;5046
